DATE_OF_INTEREST,Cases,Hospitalizations,Deaths
10/04/2020,165,23,3
10/05/2020,438,23,0
10/06/2020,247,22,1
10/07/2020,222,21,1
10/08/2020,214,15,2
10/09/2020,181,28,0
10/10/2020,93,18,0
10/11/2020,112,14,2
10/12/2020,202,27,1
10/13/2020,213,21,3
10/14/2020,202,21,3
10/15/2020,229,34,2
10/16/2020,155,19,3
10/17/2020,86,11,3
10/18/2020,167,16,1
10/19/2020,187,24,5
10/20/2020,179,24,2
10/21/2020,175,15,2
10/22/2020,222,12,2
10/23/2020,155,19,0
10/24/2020,88,19,0
10/25/2020,100,16,2
10/26/2020,115,4,0
10/27/2020,44,2,1
10/28/2020,8,0,1
