DATE_OF_INTEREST,Cases,Hospitalizations,Deaths
05/16/2020,108,15,26
05/17/2020,56,27,19
05/18/2020,188,21,10
05/19/2020,181,33,12
05/20/2020,278,25,15
05/21/2020,199,17,12
05/22/2020,264,27,12
05/23/2020,90,19,17
05/24/2020,101,21,13
05/25/2020,105,23,8
05/26/2020,284,20,10
05/27/2020,182,17,9
05/28/2020,118,11,12
05/29/2020,166,26,6
05/30/2020,80,13,13
05/31/2020,30,14,6
06/01/2020,159,14,3
06/02/2020,121,12,8
06/03/2020,112,18,11
06/04/2020,126,13,4
06/05/2020,108,10,9
06/06/2020,50,11,12
06/07/2020,43,15,7
06/08/2020,97,10,10
06/09/2020,84,14,6
06/10/2020,76,10,9
06/11/2020,65,14,6
06/12/2020,80,15,5
06/13/2020,46,5,5
06/14/2020,27,11,7
06/15/2020,79,15,5
06/16/2020,80,10,3
06/17/2020,68,13,2
06/18/2020,60,10,1
06/19/2020,83,13,3
06/20/2020,53,5,5
06/21/2020,25,5,5
06/22/2020,90,12,2
06/23/2020,73,11,8
06/24/2020,89,7,2
06/25/2020,64,13,4
06/26/2020,65,10,5
06/27/2020,27,7,1
06/28/2020,35,9,3
06/29/2020,75,8,7
06/30/2020,77,7,4
07/01/2020,62,9,1
07/02/2020,73,10,2
07/03/2020,40,3,7
07/04/2020,21,5,2
07/05/2020,19,4,6
07/06/2020,67,9,4
07/07/2020,112,18,2
07/08/2020,83,7,3
07/09/2020,90,19,3
07/10/2020,67,9,4
07/11/2020,40,5,2
07/12/2020,44,7,2
07/13/2020,109,12,5
07/14/2020,68,11,1
07/15/2020,107,9,4
07/16/2020,94,11,1
07/17/2020,75,11,2
07/18/2020,55,7,2
07/19/2020,38,7,1
07/20/2020,95,11,2
07/21/2020,71,6,4
07/22/2020,79,7,3
07/23/2020,69,5,0
07/24/2020,73,10,2
07/25/2020,25,12,6
07/26/2020,30,7,2
07/27/2020,59,12,1
07/28/2020,57,9,5
07/29/2020,80,5,1
07/30/2020,56,6,1
07/31/2020,55,6,2
08/01/2020,37,6,3
08/02/2020,30,5,0
08/03/2020,96,13,1
08/04/2020,47,13,1
08/05/2020,64,10,2
08/06/2020,67,9,1
08/07/2020,52,7,2
08/08/2020,30,6,1
08/09/2020,19,7,1
08/10/2020,88,8,2
08/11/2020,69,10,1
08/12/2020,59,6,2
08/13/2020,58,9,1
08/14/2020,69,6,1
08/15/2020,42,8,3
08/16/2020,23,12,2
08/17/2020,71,9,1
08/18/2020,54,15,2
08/19/2020,50,4,0
08/20/2020,62,11,2
08/21/2020,51,9,0
08/22/2020,29,6,1
08/23/2020,32,2,3
08/24/2020,64,10,5
08/25/2020,64,11,3
08/26/2020,64,6,1
08/27/2020,51,8,1
08/28/2020,75,4,3
08/29/2020,28,7,1
08/30/2020,19,2,4
08/31/2020,45,8,3
09/01/2020,52,5,2
09/02/2020,42,3,2
09/03/2020,40,2,2
09/04/2020,43,7,0
09/05/2020,30,7,0
09/06/2020,18,3,2
09/07/2020,32,5,1
09/08/2020,79,7,1
09/09/2020,56,5,2
09/10/2020,45,3,2
09/11/2020,55,11,3
09/12/2020,35,2,2
09/13/2020,19,2,0
09/14/2020,73,4,1
09/15/2020,54,11,2
09/16/2020,48,7,2
09/17/2020,59,7,0
09/18/2020,44,12,2
09/19/2020,30,2,1
09/20/2020,23,8,0
09/21/2020,68,5,1
09/22/2020,59,7,0
09/23/2020,80,5,1
09/24/2020,63,7,0
09/25/2020,48,10,2
09/26/2020,43,5,4
09/27/2020,32,5,0
09/28/2020,80,5,1
09/29/2020,64,6,3
09/30/2020,51,1,2
10/01/2020,76,3,0
10/02/2020,79,4,2
10/03/2020,34,2,1
10/04/2020,32,4,0
10/05/2020,93,10,3
10/06/2020,66,6,0
10/07/2020,76,8,1
10/08/2020,81,8,1
10/09/2020,91,6,2
10/10/2020,36,3,1
10/11/2020,36,13,3
10/12/2020,52,2,1
10/13/2020,91,9,0
10/14/2020,87,4,2
10/15/2020,89,14,2
10/16/2020,75,7,1
10/17/2020,61,8,2
10/18/2020,45,5,2
10/19/2020,102,8,0
10/20/2020,87,9,1
10/21/2020,92,11,0
10/22/2020,105,6,0
10/23/2020,101,11,1
10/24/2020,63,11,0
10/25/2020,48,6,2
10/26/2020,55,5,0
10/27/2020,30,1,2
10/28/2020,2,0,0
