DATE_OF_INTEREST,Cases,Hospitalizations,Deaths
09/22/2020,100,11,0
09/23/2020,104,8,0
09/24/2020,88,7,0
09/25/2020,124,11,1
09/26/2020,61,11,1
09/27/2020,103,8,0
09/28/2020,109,15,1
09/29/2020,172,13,2
09/30/2020,134,8,0
10/01/2020,134,5,4
10/02/2020,141,11,1
10/03/2020,96,6,2
10/04/2020,85,10,3
10/05/2020,195,18,0
10/06/2020,144,10,1
10/07/2020,130,10,1
10/08/2020,111,9,2
10/09/2020,142,15,1
10/10/2020,98,4,2
10/11/2020,86,11,1
10/12/2020,112,11,1
10/13/2020,125,14,0
10/14/2020,150,18,0
10/15/2020,135,17,3
10/16/2020,125,8,1
10/17/2020,99,9,1
10/18/2020,114,9,0
10/19/2020,162,15,0
10/20/2020,135,18,3
10/21/2020,168,10,0
10/22/2020,156,9,0
10/23/2020,123,15,1
10/24/2020,83,4,1
10/25/2020,60,6,0
10/26/2020,80,8,1
10/27/2020,20,0,0
10/28/2020,1,0,0
